Espécie,Zona de produção,Capitania,Data da colheita,Toxinas Lipofílicas
Mexilhão,LAL,Setúbal,05/01/2015,20.0
A. Boa,VT1,Tavira-VRSA,05/01/2015,20.0
Berbigão,FAR2,Faro,05/01/2015,15.0
Mexilhão,L8,Olhão,05/01/2015,23.0
Mexilhão,OLH2,Olhão,05/01/2015,40.0
Mexilhão,FAR1,Faro,05/01/2015,17.0
Conquilha,L8,Olhão,05/01/2015,107.0
Conquilha,L9,VRSA,05/01/2015,135.0
Pé-de-burrinho,L9,VRSA,05/01/2015,17.0
A. Branca,L9,VRSA,05/01/2015,25.0
Mexilhão,LOB,Peniche,06/01/2015,25.3
Mexilhão,L5,Peniche,06/01/2015,25.3
Berbigão,LOB,Peniche,06/01/2015,68.0
Mexilhão,RIAV1,Aveiro,05/01/2015,52.0
Mexilhão,RIAV2,Aveiro,05/01/2015,49.0
Mexilhão,RIAV4,Aveiro,05/01/2015,23.0
A. Branca,L3,Aveiro,05/01/2015,25.3
Berbigão,RIAV1,Aveiro,05/01/2015,25.3
Berbigão,RIAV2,Aveiro,05/01/2015,26.0
Berbigão,RIAV3,Aveiro,05/01/2015,25.3
Berbigão,ESD1,Setúbal,06/01/2015,16.0
Mexilhão,L6,Setúbal,06/01/2015,26.0
A. Japonesa,ESD2,Setúbal,06/01/2015,25.3
Conquilha,L9,VRSA,06/01/2015,173.0
Mexilhão,L7c,Lagos,06/01/2015,24.0
Mexilhão,L7c,Lagos,06/01/2015,40.0
Lambujinha,EMN2,Fig. Foz,06/01/2015,23.0
Berbigão,OLH1,Olhão,06/01/2015,25.0
Berbigão,OLH5,Olhão,06/01/2015,26.0
Mexilhão,TAV2,Tavira,07/01/2015,49.0
Mexilhão,L7a,Lagos,06/01/2015,42.0
Mexilhão,POR2,Portimão,06/01/2015,27.0
Mexilhão,LAG,Lagos,06/01/2015,15.0
Mexilhão,OLH3,Olhão,06/01/2015,54.0
Mexilhão,FUZ1,Olhão,06/01/2015,56.0
Mexilhão,OLH4,Olhão,06/01/2015,35.0
Mexilhão,ETJ,Lisboa,07/01/2015,25.3
Mexilhão,L5,Lisboa,07/01/2015,25.3
Mexilhão,LAL,Setúbal,12/01/2015,16.0
A. Japonesa,ETJ,Lisboa,13/01/2015,29.0
Mexilhão,L7c,Lagos,12/01/2015,29.0
