Data da colheita,Zona de produção,Produtoras de DSP
05/01/2015,LAL,80
05/01/2015,L9,20
05/01/2015,VT1,20
05/01/2015,TAV2,20
05/01/2015,FUZ1,20
05/01/2015,OLH1,20
05/01/2015,OLH2,60
05/01/2015,L8,20
05/01/2015,FAR2,20
05/01/2015,L8,40
05/01/2015,RIAV1,20
05/01/2015,RIAV2,20
05/01/2015,RIAV3,20
05/01/2015,RIAV4,20
05/01/2015,L3,20
05/01/2015,RIAV1,20
06/01/2015,L5,20
06/01/2015,LOB,20
06/01/2015,L6,20
06/01/2015,L6,20
06/01/2015,ESD1,20
06/01/2015,ESD2,20
06/01/2015,ESD1,20
06/01/2015,OLH4,20
06/01/2015,EMN2,20
06/01/2015,POR2,20
06/01/2015,OLH5,20
06/01/2015,LAG,20
06/01/2015,L7c,20
06/01/2015,L7a,20
06/01/2015,L7c,20
07/01/2015,ETJ,20
07/01/2015,L5,20
07/01/2015,L5,20
07/01/2015,L8,20
07/01/2015,OLH3,20
07/01/2015,FAR1,20
12/01/2015,LAL,20
12/01/2015,ETJ,20
12/01/2015,L9,60
12/01/2015,L8,20
12/01/2015,L8,20
12/01/2015,OLH2,20
12/01/2015,OLH3,20
12/01/2015,TAV2,40
12/01/2015,RIAV1,20
12/01/2015,RIAV2,20
12/01/2015,RIAV3,20
12/01/2015,RIAV4,20
12/01/2015,RIAV1,20
12/01/2015,L3,20
13/01/2015,LOB,20
13/01/2015,L5,20
13/01/2015,ESD1,20
13/01/2015,L6,20
13/01/2015,ESD2,20
13/01/2015,L6,20
13/01/2015,ESD1,20
12/01/2015,OLH5,20
13/01/2015,FAR2,20
14/01/2015,ETJ,20
14/01/2015,L5,20
13/01/2015,EMN2,20
14/01/2015,OLH4,20
14/01/2015,FAR1,20
12/01/2015,L1,20
12/01/2015,L2,20
05/01/2015,L2,20
05/01/2015,L1,20
06/01/2015,ELM,20
06/01/2015,EMI,20
06/01/2015,EMI,20
16/01/2015,L5,20
06/01/2015,L1,20
13/01/2015,EMI,20
06/01/2015,L2,20
13/01/2015,EMI,20
13/01/2015,L1,20
13/01/2015,ELM,20
19/01/2015,LAL,20
19/01/2015,L6,20
19/01/2015,L6,20
19/01/2015,ESD2,20
19/01/2015,ESD1,20
19/01/2015,ESD1,20
19/01/2015,OLH3,20
19/01/2015,OLH1,20
19/01/2015,OLH5,20
19/01/2015,OLH2,20
19/01/2015,FAR2,20
19/01/2015,L9,20
19/01/2015,FUZ1,20
19/01/2015,TAV2,20
19/01/2015,VT1,20
19/01/2015,RIAV1,20
19/01/2015,RIAV1,20
19/01/2015,RIAV2,20
19/01/2015,RIAV3,20
19/01/2015,RIAV4,20
19/01/2015,L3,40
20/01/2015,ETJ,20
20/01/2015,L5,20
20/01/2015,LOB,20
20/01/2015,L8,20
20/01/2015,OLH4,20
20/01/2015,FAR1,20
20/01/2015,L8,20
20/01/2015,EMN2,20
21/01/2015,L5,20
21/01/2015,ETJ,20
21/01/2015,L5,20
21/01/2015,L7c,20
21/01/2015,POR2,20
21/01/2015,LAG,20
21/01/2015,L7a,20
21/01/2015,L7c,20
21/01/2015,EMI,20
21/01/2015,EMI,20
21/01/2015,ELM,20
21/01/2015,L1,20
20/01/2015,L1,20
20/01/2015,L2,20
26/01/2015,ETJ,20
26/01/2015,ESD1,20
26/01/2015,ESD2,20
26/01/2015,ESD1,20
26/01/2015,L6,20
26/01/2015,L8,20
26/01/2015,L8,20
26/01/2015,L8,20
27/01/2015,LAL,80
27/01/2015,LOB,20
27/01/2015,EMR,20
27/01/2015,L5,20
27/01/2015,L7c,20
27/01/2015,LAG,20
27/01/2015,L7c,20
27/01/2015,L7a,20
27/01/2015,POR2,20
27/01/2015,EMN2,20
26/01/2015,RIAV1,20
26/01/2015,RIAV2,20
26/01/2015,RIAV3,20
26/01/2015,RIAV4,20
26/01/2015,RIAV1,20
26/01/2015,L3,20
28/01/2015,L5,20
28/01/2015,ETJ,20
27/01/2015,OLH5,20
28/01/2015,OLH3,20
28/01/2015,OLH2,20
28/01/2015,OLH1,20
28/01/2015,FUZ1,20
28/01/2015,TAV2,20
28/01/2015,VT1,20
28/01/2015,L9,20
28/01/2015,FAR1,20
28/01/2015,OLH4,20
28/01/2015,FAR2,20
28/01/2015,L1,20
28/01/2015,L2,20
28/01/2015,L2,20
27/01/2015,L1,20
27/01/2015,EMI,20
27/01/2015,EMI,20
27/01/2015,ELM,20
29/01/2015,L5,20
02/02/2015,LAL,200
02/02/2015,L9,20
02/02/2015,VT1,20
02/02/2015,OLH5,20
02/02/2015,TAV2,20
02/02/2015,FUZ1,20
02/02/2015,OLH1,20
02/02/2015,OLH2,20
02/02/2015,OLH3,20
02/02/2015,L8,20
02/02/2015,RIAV1,20
02/02/2015,RIAV2,20
02/02/2015,RIAV3,20
02/02/2015,RIAV4,20
02/02/2015,RIAV1,20
02/02/2015,L3,20
03/02/2015,L5,20
03/02/2015,LOB,20
03/02/2015,ETJ,20
03/02/2015,L6,20
03/02/2015,L6,20
03/02/2015,ESD1,20
03/02/2015,ESD2,20
03/02/2015,ESD1,20
03/02/2015,L7c,20
02/02/2015,OLH4,20
03/02/2015,LAG,20
03/02/2015,L7c,20
03/02/2015,L7a,20
03/02/2015,L8,20
03/02/2015,EMN2,20
04/02/2015,L5,20
04/02/2015,L5,20
04/02/2015,ETJ,20
04/02/2015,FAR1,20
04/02/2015,L8,20
04/02/2015,FAR2,20
03/02/2015,L1,20
04/02/2015,EMI,20
04/02/2015,EMI,20
04/02/2015,ELM,20
04/02/2015,L1,20
03/02/2015,L2,20
09/02/2015,LAL,20
09/02/2015,L5,20
09/02/2015,L5,20
09/02/2015,ETJ,20
09/02/2015,VT1,20
09/02/2015,OLH1,20
09/02/2015,OLH2,20
09/02/2015,L9,20
09/02/2015,OLH4,20
09/02/2015,OLH3,20
09/02/2015,OLH5,20
09/02/2015,FUZ1,20
09/02/2015,TAV2,20
09/02/2015,L8,20
10/02/2015,LOB,20
10/02/2015,L5,20
10/02/2015,L6,20
10/02/2015,ESD1,20
10/02/2015,L6,20
10/02/2015,ESD2,20
10/02/2015,ESD1,20
10/02/2015,EMN2,20
09/02/2015,RIAV1,20
09/02/2015,RIAV2,20
09/02/2015,RIAV3,20
09/02/2015,RIAV4,20
09/02/2015,RIAV1,20
09/02/2015,L3,20
10/02/2015,FAR1,20
09/02/2015,FAR2,20
10/02/2015,POR2,20
10/02/2015,LAG,20
10/02/2015,L7a,20
10/02/2015,L7c,20
09/02/2015,L2,20
09/02/2015,L1,20
10/02/2015,EMI,20
10/02/2015,EMI,20
10/02/2015,ELM,20
10/02/2015,L2,20
10/02/2015,L1,20
11/02/2015,RIAV1,20
11/02/2015,L3,20
11/02/2015,RIAV4,20
11/02/2015,EMN2,20
16/02/2015,L8,20
16/02/2015,L8,100
16/02/2015,L9,20
16/02/2015,VT1,20
16/02/2015,TAV2,20
16/02/2015,OLH2,20
16/02/2015,OLH1,20
16/02/2015,OLH3,20
16/02/2015,L5,20
17/02/2015,LOB,20
16/02/2015,RIAV1,20
16/02/2015,RIAV2,20
16/02/2015,RIAV3,20
16/02/2015,RIAV4,20
16/02/2015,RIAV1,20
16/02/2015,L3,20
17/02/2015,ESD1,20
17/02/2015,ESD1,20
17/02/2015,L6,20
17/02/2015,ESD2,20
17/02/2015,L6,20
17/02/2015,EMN2,20
17/02/2015,LAG,20
17/02/2015,L7c,20
16/02/2015,OLH4,20
17/02/2015,POR2,20
17/02/2015,L7a,20
16/02/2015,FUZ1,20
18/02/2015,L5,20
18/02/2015,L1,20
18/02/2015,L2,20
17/02/2015,L2,20
18/02/2015,L1,20
18/02/2015,ELM,20
16/02/2015,EMI,20
16/02/2015,EMI,20
18/02/2015,L8,20
18/02/2015,FAR2,20
18/02/2015,FAR1,20
18/02/2015,OLH5,20
19/02/2015,L5,20
19/02/2015,ETJ,20
19/02/2015,ETJ,20
23/02/2015,ETJ,20
23/02/2015,EMR,20
23/02/2015,L8,20
23/02/2015,L9,20
23/02/2015,VT1,20
23/02/2015,TAV2,20
23/02/2015,FUZ1,20
23/02/2015,OLH1,20
23/02/2015,OLH2,20
23/02/2015,L8,20
23/02/2015,FAR2,20
24/02/2015,LOB,20
23/02/2015,RIAV1,20
23/02/2015,RIAV2,20
23/02/2015,RIAV3,20
23/02/2015,RIAV4,20
23/02/2015,L3,20
23/02/2015,RIAV1,20
23/02/2015,L1,20
23/02/2015,L2,20
24/02/2015,L1,20
23/02/2015,ELM,20
24/02/2015,EMI,20
24/02/2015,EMI,20
24/02/2015,L6,20
24/02/2015,ESD1,20
24/02/2015,ESD2,20
24/02/2015,ESD1,20
24/02/2015,L6,20
24/02/2015,FAR1,20
24/02/2015,L7c,20
25/02/2015,OLH5,20
24/02/2015,L8,20
25/02/2015,OLH4,20
26/02/2015,L5,20
26/02/2015,ETJ,20
27/02/2015,L5,20
02/03/2015,LAL,20
02/03/2015,L8,20
02/03/2015,VT1,20
02/03/2015,TAV2,20
02/03/2015,OLH2,20
02/03/2015,L9,20
02/03/2015,FUZ1,20
02/03/2015,OLH1,20
02/03/2015,OLH3,20
03/03/2015,L5,20
03/03/2015,LOB,20
02/03/2015,RIAV1,20
02/03/2015,L3,20
02/03/2015,RIAV4,20
02/03/2015,RIAV2,20
02/03/2015,RIAV1,20
02/03/2015,RIAV3,20
03/03/2015,L6,20
03/03/2015,L6,20
03/03/2015,ESD1,20
03/03/2015,ESD1,20
03/03/2015,ESD2,20
03/03/2015,L7a,20
03/03/2015,L7c,20
03/03/2015,LAG,20
03/03/2015,POR2,20
03/03/2015,L7c,20
03/03/2015,OLH5,20
03/03/2015,L8,40
03/03/2015,EMN2,20
04/03/2015,L5,20
04/03/2015,OLH4,20
04/03/2015,FAR1,20
04/03/2015,L8,20
04/03/2015,EMI,20
04/03/2015,ELM,20
03/03/2015,L1,20
04/03/2015,L1,20
04/03/2015,EMI,20
03/03/2015,L2,20
05/03/2015,L2,20
06/03/2015,ETJ,20
06/03/2015,L5,20
09/03/2015,LAL,20
09/03/2015,ETJ,20
09/03/2015,L5,20
09/03/2015,EMR,20
09/03/2015,EMR,20
09/03/2015,FAR1,20
09/03/2015,L8,100
09/03/2015,OLH5,20
09/03/2015,RIAV1,20
09/03/2015,RIAV2,20
09/03/2015,RIAV3,20
09/03/2015,RIAV4,20
09/03/2015,RIAV1,20
09/03/2015,L3,20
10/03/2015,LOB,20
10/03/2015,L5,20
10/03/2015,L6,20
10/03/2015,L6,20
10/03/2015,ESD1,20
10/03/2015,ESD1,20
10/03/2015,ESD2,20
10/03/2015,L7c,20
10/03/2015,L8,20
10/03/2015,L7a,20
10/03/2015,L7c,20
10/03/2015,POR2,20
09/03/2015,L9,20
10/03/2015,LAG,20
09/03/2015,OLH1,20
09/03/2015,OLH2,20
09/03/2015,VT1,20
09/03/2015,TAV2,20
09/03/2015,FUZ1,20
09/03/2015,OLH3,20
10/03/2015,EMN2,20
09/03/2015,L2,20
09/03/2015,L1,20
10/03/2015,L1,20
10/03/2015,ELM,20
11/03/2015,L5,20
11/03/2015,ETJ,20
11/03/2015,FAR2,20
11/03/2015,OLH4,20
11/03/2015,L8,20
11/03/2015,L2,20
16/03/2015,LAL,20
16/03/2015,FUZ1,20
16/03/2015,FAR2,20
16/03/2015,L9,20
16/03/2015,TAV2,20
16/03/2015,L8,20
16/03/2015,VT1,20
16/03/2015,OLH2,20
16/03/2015,OLH1,20
16/03/2015,OLH3,20
16/03/2015,OLH5,20
17/03/2015,L5,20
17/03/2015,LOB,920
16/03/2015,RIAV1,20
16/03/2015,RIAV2,20
16/03/2015,RIAV3,20
16/03/2015,RIAV4,20
16/03/2015,L3,20
16/03/2015,RIAV1,20
16/03/2015,L1,20
16/03/2015,EMI,20
16/03/2015,EMI,20
16/03/2015,ELM,20
17/03/2015,ETJ,20
17/03/2015,L6,20
17/03/2015,L6,20
17/03/2015,ESD2,20
17/03/2015,ESD1,20
17/03/2015,ESD1,20
17/03/2015,POR2,40
17/03/2015,LAG,20
17/03/2015,L7a,20
17/03/2015,L7c,20
17/03/2015,L8,20
17/03/2015,L7c,20
18/03/2015,L5,20
17/03/2015,EMN2,20
18/03/2015,OLH4,20
18/03/2015,FAR1,20
18/03/2015,L3,20
18/03/2015,L2,20
17/03/2015,L1,20
17/03/2015,L2,20
20/03/2015,ETJ,20
20/03/2015,L5,20
23/03/2015,LAL,20
23/03/2015,L5,20
23/03/2015,ETJ,20
23/03/2015,TAV2,40
23/03/2015,VT1,20
23/03/2015,L8,1260
23/03/2015,L8,60
23/03/2015,L9,20
23/03/2015,FUZ1,320
23/03/2015,OLH1,20
23/03/2015,L8,80
23/03/2015,FAR2,120
23/03/2015,RIAV1,20
23/03/2015,RIAV2,20
23/03/2015,RIAV3,20
23/03/2015,RIAV4,20
23/03/2015,L3,20
23/03/2015,RIAV1,20
24/03/2015,L5,20
24/03/2015,LOB,20
24/03/2015,EMR,20
24/03/2015,L6,20
24/03/2015,ESD2,20
24/03/2015,ESD1,20
24/03/2015,ESD1,20
24/03/2015,L6,20
24/03/2015,POR2,20
23/03/2015,OLH4,20
24/03/2015,L7c,20
24/03/2015,LAG,20
24/03/2015,L7a,20
24/03/2015,L7c,440
24/03/2015,OLH5,20
24/03/2015,EMN2,20
24/03/2015,EMI,20
24/03/2015,EMI,20
24/03/2015,ELM,20
24/03/2015,L1,20
23/03/2015,L1,20
23/03/2015,L2,20
25/03/2015,ETJ,20
25/03/2015,L5,20
25/03/2015,OLH2,20
25/03/2015,OLH3,20
25/03/2015,FAR1,20
30/03/2015,ETJ,20
30/03/2015,LAL,20
30/03/2015,L9,20
30/03/2015,VT1,20
30/03/2015,TAV2,20
30/03/2015,FUZ1,40
30/03/2015,OLH2,20
30/03/2015,OLH3,120
30/03/2015,EMN2,20
30/03/2015,L2,20
30/03/2015,L1,20
30/03/2015,L1,20
30/03/2015,ELM,60
30/03/2015,L5,20
31/03/2015,ETJ,20
31/03/2015,FAR2,20
30/03/2015,OLH4,20
30/03/2015,L8,20
30/03/2015,L2,20
30/03/2015,LAL,20
30/03/2015,FUZ1,20
30/03/2015,FAR2,20
31/03/2015,L9,20
31/03/2015,TAV2,20
31/03/2015,L8,20
31/03/2015,VT1,40
31/03/2015,OLH2,20
31/03/2015,OLH1,20
31/03/2015,OLH3,20
31/03/2015,OLH5,20
31/03/2015,L5,20
31/03/2015,LOB,20
31/03/2015,RIAV1,20
31/03/2015,RIAV2,20
31/03/2015,RIAV3,20
30/03/2015,RIAV4,20
30/03/2015,L3,20
30/03/2015,RIAV1,20
31/03/2015,L1,20
31/03/2015,EMI,20
31/03/2015,EMI,20
31/03/2015,ELM,20
01/04/2015,L5,20
02/04/2015,L5,20
02/04/2015,ETJ,20
06/04/2015,L5,20
06/04/2015,LAL,20
06/04/2015,EMR,20
06/04/2015,L8,40
06/04/2015,L9,20
06/04/2015,VT1,20
06/04/2015,TAV2,1180
06/04/2015,FUZ1,960
06/04/2015,OLH5,40
06/04/2015,L8,1820
06/04/2015,FAR2,40
07/04/2015,L5,20
07/04/2015,LOB,20
06/04/2015,L3,20
06/04/2015,RIAV1,20
06/04/2015,RIAV2,40
06/04/2015,RIAV3,20
06/04/2015,RIAV1,20
06/04/2015,RIAV4,20
07/04/2015,L6,20
07/04/2015,ESD1,20
07/04/2015,ESD2,20
07/04/2015,L6,20
07/04/2015,ESD1,20
07/04/2015,L7a,20
07/04/2015,L7c,400
07/04/2015,POR2,20
07/04/2015,L7c,980
07/04/2015,LAG,160
06/04/2015,L1,20
06/04/2015,L2,20
07/04/2015,ELM,20
07/04/2015,L1,20
07/04/2015,EMI,20
07/04/2015,EMI,20
07/04/2015,EMN2,20
08/04/2015,L5,20
08/04/2015,ETJ,20
08/04/2015,L2,20
