N.ºamostra,Data da colheita,Zona de produção,DSP
1,05/01/2015,LAL,820
2,05/01/2015,L9,20
3,05/01/2015,VT1,20
4,05/01/2015,TAV2,220
5,05/01/2015,FUZ1,220
6,05/01/2015,OLH1,20
7,05/01/2015,OLH2,620
8,05/01/2015,L8,20
9,05/01/2015,FAR2,20
10,05/01/2015,L8,420
11,05/01/2015,RIAV1/L3,20
12,05/01/2015,RIAV2,20
13,05/01/2015,RIAV3,20
14,05/01/2015,RIAV4,20
15,05/01/2015,L3,20
16,05/01/2015,RIAV1,20
17,06/01/2015,L5,20
18,06/01/2015,LOB,20
19,06/01/2015,L6,20
20,06/01/2015,L6,220
21,06/01/2015,ESD1,20
22,06/01/2015,ESD2,20
23,06/01/2015,ESD1,20
24,06/01/2015,OLH4,220
25,06/01/2015,EMN2,20
26,06/01/2015,POR2,20
27,06/01/2015,OLH5,220
28,06/01/2015,LAG,20
29,06/01/2015,L7c,20
30,06/01/2015,L7a,20
31,06/01/2015,L7c,20
32,07/01/2015,ETJ,20
33,07/01/2015,L5,20
34,07/01/2015,L5,20
35,07/01/2015,L8,20
36,07/01/2015,OLH3,20
37,07/01/2015,FAR1,20
38,12/01/2015,LAL,20
39,12/01/2015,ETJ,20
40,12/01/2015,L9,620
41,12/01/2015,L8,20
42,12/01/2015,L8,20
43,12/01/2015,OLH2,20
44,12/01/2015,OLH3,20
45,12/01/2015,TAV2,420
46,12/01/2015,RIAV1/L3,20
47,12/01/2015,RIAV2,20
48,12/01/2015,RIAV3,20
49,12/01/2015,RIAV4,20
50,12/01/2015,RIAV1,20
51,12/01/2015,L3,20
52,13/01/2015,LOB,20
53,13/01/2015,L5,20
55,13/01/2015,ESD1,20
56,13/01/2015,L6,20
57,13/01/2015,ESD2,20
58,13/01/2015,L6,20
59,13/01/2015,ESD1,20
60,12/01/2015,OLH5,20
61,13/01/2015,FAR2,20
62,14/01/2015,ETJ,20
63,14/01/2015,L5,20
64,13/01/2015,EMN2,20
65,14/01/2015,OLH4,20
66,14/01/2015,FAR1,20
67,12/01/2015,L1,20
68,12/01/2015,L2,20
69,05/01/2015,L2,20
70,05/01/2015,L1,20
71,06/01/2015,ELM,20
72,06/01/2015,EMI,20
73,06/01/2015,EMI,20
74,16/01/2015,L5,20
75,06/01/2015,L1,20
76,13/01/2015,EMI,20
77,06/01/2015,L2,20
78,13/01/2015,EMI,20
79,13/01/2015,L1,20
80,13/01/2015,ELM,20
81,19/01/2015,LAL,20
82,19/01/2015,L6,20
83,19/01/2015,L6,20
84,19/01/2015,ESD2,20
85,19/01/2015,ESD1,20
86,19/01/2015,ESD1,20
87,19/01/2015,OLH3,20
88,19/01/2015,OLH1,20
89,19/01/2015,OLH5,20
90,19/01/2015,OLH2,20
91,19/01/2015,FAR2,20
92,19/01/2015,L9,20
93,19/01/2015,FUZ1,220
94,19/01/2015,TAV2,20
95,19/01/2015,VT1,20
96,19/01/2015,RIAV1,20
97,19/01/2015,RIAV1/L3,20
98,19/01/2015,RIAV2,20
99,19/01/2015,RIAV3,20
100,19/01/2015,RIAV4,20
101,19/01/2015,L3,420
